IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:04:17 | nameless | Added video	VideoID: Cd60Ul--w_4	Tags: 	Date: 2023-08-08	Netplay: N.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:04:17 | nameless | Added match	VideoID: Cd60Ul--w_4	Time: 5s	P1: c10 Kakeru	P2: c11 Yossan	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:04:48 | nameless | Added match	VideoID: Cd60Ul--w_4	Time: 1m35s	P1: c10 Kakeru	P2: c14 HibikiTheBeast	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:05:38 | nameless | Added match	VideoID: Cd60Ul--w_4	Time: 3m28s	P1: c10 Kakeru	P2: c3 Mago	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:06:32 | nameless | Added match	VideoID: Cd60Ul--w_4	Time: 5m43s	P1: c10 Kakeru	P2: c5 Sasamon	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:07:11 | nameless | Added match	VideoID: Cd60Ul--w_4	Time: 7m44s	P1: c6 Fuudo	P2: c10 Kakeru	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:07:21 | nameless | Modified match	VideoID: Cd60Ul--w_4	Winner from: 1 to 2
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:11:05 | nameless | Added video	VideoID: NXyVE5aQrkQ	Tags: 	Date: 2023-07-31	Netplay: N.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:11:05 | nameless | Added match	VideoID: NXyVE5aQrkQ	Time: 5s	P1: c5 Louie	P2: c10 Juicyjoe2000	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:11:40 | nameless | Added match	VideoID: NXyVE5aQrkQ	Time: 1m34s	P1: c11 vivy	P2: c10 Juicyjoe2000	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:12:06 | nameless | Added match	VideoID: NXyVE5aQrkQ	Time: 3m	P1: c10 Juicyjoe2000	P2: c8 Kramer	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:12:12 | nameless | Modified match	VideoID: NXyVE5aQrkQ	Winner from: 2 to 1
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:14:55 | nameless | Added video	VideoID: 1K_q1CIcFc8	Tags: 	Date: 2023-08-19	Netplay: N.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:14:55 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 19m46s	P1: c10 Nemo	P2: c13 Oniki	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:18:01 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 42m38s	P1: c10 Fenritti	P2: c4 Moke	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:19:06 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 58m49s	P1: c3 NARIKUN	P2: c10 Ryuusei	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:19:56 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 1h5m43s	P1: c10 Nemo	P2: c12 Kabe	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:21:12 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 1h24m38s	P1: c4 Moke	P2: c10 Kakeru	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:22:10 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 2h4m25s	P1: c10 Fenritti	P2: c12 Fujimura	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:23:07 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 2h16m34s	P1: c12 Kabe	P2: c10 Ryuusei	Winner: 1.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:24:15 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 2h27m56s	P1: c10 Kakeru	P2: c3 Kazunoko	Winner: 2.
IP: ::ffff:127.0.0.1 | Sun Nov 19 2023 23:25:11 | nameless | Added match	VideoID: 1K_q1CIcFc8	Time: 3h13m8s	P1: c13 Oniki	P2: c10 Fenritti	Winner: 1.
